"Country","Age","Gender","Kids","Education","WorkStatus","Income","Job","ExpYears","ExpMonths","Community","Marital","Sons","Daughters","DPQues1","DPQues2","DPQues3","DPQues4","DPQues5","AIPQues1","AIPQues2","AIPQues3","AIPQues4","AIPQues5","AIPQues6","AIPQues7","AIPQues8","AIPQues9","AIPQues10","AIPQues11","AIPQues12","AIPQues13","AIPQues14","AIPQues15","GPQues1","GPQues2","GPQues3","GPQues4","GPQues5","GPQues6","GPQues7","GPQues8","GPQues9","GPQues10","GPQues11","GPQues12","GPQues13","GPQues14","GPQues15","GPQues16","GPQues17","GPQues18","GPQues19","GPQues20","SWLSQues1","SWLSQues2","SWLSQues3","SWLSQues4","SWLSQues5","SelfQuestion","OthQuestion","GPMean","AIPMean","SWLSMean","DPMean","HDI","Category","matching"
"NA",25,"Female","No","deg","full-time",0,"Na",0,0,"","Single",0,0,3,3,2,2,2,1,1,3,3,3,5,4,5,3,4,4,2,3,2,4,4,1,2,5,3,3,4,3,4,3,4,4,2,2,5,4,3,4,5,4,4,5,4,4,5,"yes","yes",3.5,3.1,4.4,2.4,NA,NA,1
"NA",20,"Female","No","deg","student",15000,"Student",4,7,"","Single",0,0,3,2,1,1,1,1,2,2,3,2,3,2,2,2,3,2,2,2,3,3,4,2,1,3,2,3,2,3,2,3,4,2,2,2,2,3,2,2,3,2,4,4,4,4,3,"yes","no",2.5,2.3,3.8,1.6,NA,NA,0
"NA",45,"Male","No","ma","NA",0,"Na",0,0,"Large-City","Single",0,0,4,4,5,5,5,4,5,4,5,5,2,5,4,4,4,3,5,5,5,5,5,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,"yes","yes",4.5,4.3,1.2,4.6,NA,NA,1
"NA",55,"Male","No","deg","full-time",150000,"Na",23,0,"Medium-Sized","Divorced",0,0,3,3,2,2,1,1,3,5,5,4,3,5,4,4,5,3,4,3,4,3,4,2,4,5,2,1,3,3,4,5,5,3,3,2,4,4,4,4,4,4,3,3,3,3,2,"no","yes",3.5,3.7,2.8,2.2,NA,NA,0
"NA",28,"Female","No","ma","NA",0,"Na",0,0,"","",0,0,4,3,4,2,2,3,2,2,3,2,1,4,3,2,2,4,3,4,3,4,4,2,3,3,4,5,5,3,3,2,3,3,5,5,4,5,5,4,4,4,2,2,3,3,1,"yes","yes",3.8,2.8,2.2,3,NA,NA,1
"NA",19,"Female","No","ltuni","student",10000,"Student",0,0,"Medium-Sized","Single",0,0,3,3,2,2,2,3,1,4,4,3,1,3,3,1,4,3,3,4,1,3,4,1,1,4,4,2,4,3,4,2,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,"yes","yes",3.2,2.7,4,2.4,NA,NA,1
"NA",28,"Female","No","dip","student",25000,"Student",4,0,"Large-City","Separated",0,0,5,4,2,2,2,2,1,4,2,2,2,2,4,1,3,5,3,4,2,4,4,3,2,3,3,3,3,3,4,2,3,4,2,2,3,4,3,4,3,4,3,2,3,2,1,"yes","no",3.1,2.7,2.2,3,NA,NA,0
"NA",55,"Male","Yes","phd","full-time",87500,"Na",6,0,"Large-City","Separated",3,0,3,1,2,2,1,1,2,4,3,3,1,3,4,4,4,1,1,2,2,4,4,1,1,5,4,2,4,2,4,2,4,5,1,2,5,4,3,2,4,5,3,5,3,3,3,"yes","yes",3.2,2.6,3.4,1.8,NA,NA,1
"NA",55,"Female","Yes","deg","unemployed",0,"Na",0,0,"","Divorced",1,0,4,3,4,3,3,1,1,4,4,4,3,3,4,3,4,1,2,3,2,2,4,2,2,2,3,1,3,4,4,3,3,4,2,2,4,3,3,4,2,4,3,4,4,4,2,"yes","yes",3,2.7,3.4,3.4,NA,NA,1
"NA",23,"Female","No","deg","student",0,"Student",0,0,"Medium-Sized","Single",0,0,3,2,5,2,1,1,1,1,2,1,2,1,2,1,2,5,2,3,1,3,2,2,2,5,5,1,3,5,5,1,3,3,1,3,4,4,3,5,5,4,2,4,4,4,2,"yes","yes",3.3,1.9,3.2,2.6,NA,NA,1
"NA",20,"Female","No","ltuni","student",0,"Student",0,0,"","",0,0,3,3,3,1,1,1,3,2,4,1,4,3,3,1,3,4,4,2,4,1,4,1,2,4,2,2,3,5,5,3,4,4,3,3,4,4,3,4,3,3,4,3,4,5,5,"yes","yes",3.3,2.7,4.2,2.2,NA,NA,1
"NA",28,"Female","No","ma","student",35000,"Student",5,8,"","Single",0,0,4,4,4,4,4,1,1,1,1,4,2,3,3,4,5,1,1,1,1,3,4,4,2,4,4,3,4,3,5,1,2,5,1,2,4,2,1,5,5,5,1,3,2,3,1,"yes","yes",3.3,2.1,2,4,NA,NA,1
"NA",55,"Female","No","ma","student",15000,"Student",5,0,"Medium-Sized","",0,0,5,5,5,3,3,1,1,2,1,3,1,3,3,1,4,2,1,2,1,3,4,1,1,2,1,2,3,4,4,2,4,5,2,2,3,2,1,5,4,5,5,5,4,4,2,"yes","yes",2.8,1.9,4,4.2,NA,NA,1
"NA",45,"Female","No","dip","unemployed",0,"Photo Profucer",12,0,"Medium-Sized","Single",0,0,3,3,3,3,3,3,3,4,3,4,3,3,3,2,4,3,4,3,4,3,3,2,3,4,4,3,4,3,3,4,3,4,4,4,3,4,3,3,3,2,3,3,3,4,4,"yes","no",3.3,3.3,3.4,3,NA,NA,0
"NA",28,"Male","No","deg","student",0,"Student",0,0,"","",0,0,5,5,5,4,4,5,1,5,1,3,4,1,3,2,3,5,1,5,1,1,5,4,2,5,4,3,5,5,5,1,2,5,5,5,4,4,4,4,5,4,2,2,3,3,3,"yes","no",4,2.7,2.6,4.6,NA,NA,0
"NA",32,"Male","No","ma","full-time",150000,"Na",0,0,"","",0,0,4,5,4,2,2,2,2,4,3,2,2,2,4,3,2,4,2,4,2,2,3,4,4,3,4,2,4,4,2,5,4,4,2,4,4,5,4,4,3,4,3,4,4,4,2,"yes","no",3.6,2.7,3.4,3.4,NA,NA,0
"NA",37,"Male","Yes","phd","full-time",250000,"Teacher",9,0,"Large-City","Married",0,1,3,3,5,1,5,1,1,1,2,1,1,2,1,1,2,1,3,2,2,2,2,1,1,1,1,1,2,1,1,1,5,2,1,1,2,2,1,1,1,1,5,4,5,5,3,"no","no",1.4,1.5,4.4,3.4,NA,NA,1
"NA",32,"Female","No","deg","student",0,"Student",0,0,"","Married",0,0,3,3,5,3,3,3,3,3,4,3,1,3,4,3,4,5,4,5,4,4,4,3,4,5,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",3.8,3.5,2.8,3.4,NA,NA,1
"NA",28,"Female","No","ma","full-time",0,"Na",0,0,"","Married",0,0,3,2,4,2,2,2,2,5,2,2,2,2,2,1,2,2,1,2,2,3,3,2,2,3,1,2,3,3,4,1,2,3,4,2,3,3,2,3,3,2,4,4,3,4,4,"yes","no",2.5,2.1,3.8,2.6,NA,NA,0
"NA",32,"Female","No","ma","unemployed",0,"Na",0,0,"Large-City","Married",0,0,3,3,3,2,4,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,1,4,2,2,3,3,3,2,2,3,2,3,4,3,3,3,"yes","yes",2.5,2.1,3.2,3,NA,NA,1
"NA",45,"Female","Yes","phd","unemployed",250000,"Doctor",14,0,"Small City","Widowed",2,0,5,3,5,4,4,2,5,2,5,5,1,5,5,4,5,1,5,5,5,5,5,5,4,1,5,2,5,5,5,3,5,5,3,4,5,5,3,4,4,2,5,4,4,5,2,"yes","yes",4,4,4,4.2,NA,NA,1
"NA",20,"Female","No","ltuni","student",0,"Student",0,0,"Large-City","Single",0,0,5,4,4,4,4,1,3,3,5,4,2,4,3,4,5,1,2,5,3,1,4,1,2,5,5,3,4,4,5,5,4,5,1,3,3,3,4,4,5,4,3,3,3,3,4,"yes","yes",3.7,3.1,3.2,4.2,NA,NA,1
"NA",24,"Female","No","phd","NA",0,"Na",0,0,"","",0,0,5,3,5,3,3,1,2,1,5,2,1,2,3,2,4,3,2,3,2,2,3,1,2,5,4,2,3,4,4,3,3,5,1,3,3,3,3,4,2,4,4,4,4,4,4,"yes","yes",3.1,2.3,4,3.8,NA,NA,1
"NA",22,"Male","No","ma","student",0,"Student",7,0,"","",0,0,5,4,3,2,2,4,3,5,4,3,5,4,4,2,5,4,4,3,4,4,4,1,2,5,4,1,4,3,4,1,2,4,4,4,4,5,4,4,5,4,2,3,3,2,1,"yes","yes",3.5,3.9,2.2,3.2,NA,NA,1
"NA",45,"Female","No","phd","unemployed",10000,"Na",0,0,"","",0,0,3,2,2,2,2,2,1,2,3,3,2,2,2,2,3,3,2,3,2,2,2,2,2,4,4,2,3,3,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,"no","no",2.7,2.3,2,2.2,NA,NA,1
"NA",32,"Female","No","ma","student",10000,"Student",7,8,"Medium-Sized","Single",0,0,4,4,4,4,4,1,2,2,3,4,3,4,4,4,4,3,2,3,2,3,4,1,3,2,4,3,4,4,5,4,3,4,2,3,4,3,3,4,4,4,2,3,2,2,2,"yes","yes",3.4,2.9,2.2,4,NA,NA,1
"NA",28,"Female","No","deg","NA",0,"Na",0,0,"","",0,0,5,5,5,5,5,1,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.7,4.3,1,5,NA,NA,1
"NA",37,"Female","No","deg","full-time",0,"Na",0,0,"","",0,0,3,4,4,3,3,4,3,4,3,3,2,3,3,2,3,4,4,4,3,3,3,3,4,5,4,3,3,4,3,2,4,3,4,3,3,4,4,3,4,4,2,3,3,2,2,"yes","yes",3.5,3.2,2.4,3.4,NA,NA,1
"NA",28,"Female","No","","NA",0,"Na",0,0,"","Single",0,0,4,5,3,2,2,1,4,5,5,2,4,5,4,3,3,4,3,5,3,4,5,3,5,2,5,3,4,3,5,5,5,5,3,3,4,3,3,4,5,4,3,4,3,1,3,"yes","yes",4,3.7,2.8,3.2,NA,NA,1
"NA",37,"Male","No","ma","full-time",87500,"Na",3,6,"Village","Married",0,0,3,2,2,2,2,3,1,2,2,3,2,2,3,3,3,3,2,3,2,4,3,2,3,1,2,2,3,3,4,2,2,3,4,2,3,2,2,4,4,4,4,4,4,4,3,"yes","NA",2.8,2.5,3.8,2.2,NA,NA,0
"NA",32,"Male","Yes","ma","full-time",87500,"Na",0,0,"","Married",2,1,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,3,4,5,4,2,5,4,5,3,5,5,3,4,5,3,4,5,5,3,2,3,2,4,3,"yes","NA",4.1,4.7,2.8,4.2,NA,NA,0
"NA",80,"Female","Yes","ma","retired",55000,"Na",0,0,"Village","Divorced",2,2,4,4,4,3,3,3,1,3,2,3,3,2,4,3,3,1,2,2,2,5,4,3,1,2,3,1,4,4,4,1,4,3,2,4,3,2,3,4,4,4,4,3,4,3,2,"yes","yes",3,2.6,3.2,3.6,NA,NA,1
"NA",21,"Female","No","ltuni","student",10000,"Student",0,0,"Rural/Country","Single",0,0,4,4,4,3,3,2,2,2,3,3,2,4,3,2,4,4,4,4,2,3,4,2,4,5,3,3,3,4,4,2,3,4,3,3,4,4,4,4,5,4,4,4,4,4,4,"yes","yes",3.6,2.9,4,3.6,NA,NA,1
"NA",45,"Female","Yes","deg","unemployed",10000,"Na",0,0,"Rural/Country","Married",0,4,2,3,4,2,2,3,2,5,3,2,1,3,3,2,3,5,3,5,3,4,4,2,4,5,4,5,4,4,4,2,4,4,3,4,4,4,4,4,3,4,4,4,5,5,5,"no","yes",3.8,3.1,4.6,2.6,NA,NA,0
"NA",67,"Male","No","ma","full-time",87500,"Na",0,0,"Village","Single",0,0,5,5,5,4,4,1,1,3,3,5,3,3,4,4,4,3,2,2,2,3,4,4,3,5,1,2,4,5,5,4,1,4,1,3,3,3,3,3,4,3,1,1,2,1,1,"yes","yes",3.2,2.9,1.2,4.6,NA,NA,1
"NA",55,"Female","Yes","phd","part-time",0,"Na",2,0,"Village","Married",1,1,1,1,1,1,1,5,5,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,"no","no",1,1.9,4.6,1,NA,NA,1
"NA",28,"Female","No","ma","full-time",0,"Na",4,0,"","Single",0,0,4,4,4,3,3,3,4,5,5,4,5,5,5,5,5,4,3,4,3,3,4,3,5,5,3,2,5,5,5,5,5,5,5,4,5,5,2,5,4,4,1,1,1,2,2,"yes","yes",4.3,4.2,1.4,3.6,NA,NA,1
"NA",21,"Female","No","deg","student",0,"Student",0,0,"","Single",0,0,1,1,1,1,1,1,2,3,4,3,1,3,3,1,2,3,4,4,3,4,3,3,2,5,4,5,4,1,4,4,2,4,2,4,2,3,4,3,5,1,3,5,3,2,3,"yes","no",3.2,2.7,3.2,1,NA,NA,0
"NA",21,"Female","No","ltuni","NA",0,"Na",0,0,"","",0,0,3,3,4,3,3,2,1,2,2,2,2,1,3,2,2,3,1,2,2,3,3,3,2,2,4,2,2,3,4,2,3,3,4,2,2,3,3,1,4,2,4,4,4,4,4,"yes","no",2.7,2,4,3.2,NA,NA,0
"NA",20,"Female","No","ltuni","NA",0,"Na",0,0,"Village","",0,0,2,1,4,1,1,1,1,1,1,1,1,1,3,1,1,2,3,5,1,3,3,1,2,2,4,3,3,3,2,1,1,1,1,1,5,5,3,2,3,2,4,4,4,5,4,"no","no",2.4,1.7,4.2,1.8,NA,NA,1
"NA",55,"Female","Yes","ma","student",250000,"Student",0,0,"Large Town","Married",2,1,2,2,2,2,2,3,1,3,3,3,2,4,3,3,3,4,2,3,3,4,4,2,3,4,4,4,4,3,4,2,2,3,4,3,3,3,3,4,4,4,3,3,2,3,2,"yes","yes",3.4,2.9,2.6,2,NA,NA,1
"NA",25,"Female","No","ma","student",10000,"Student",2,0,"","",0,0,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,3,3,3,2,2,2,1,2,4,1,1,2,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,"yes","no",2.5,2.6,3,3,NA,NA,0
"NA",32,"Male","No","ma","NA",0,"Na",0,0,"Village","",0,0,2,3,3,3,3,1,2,3,3,2,3,3,3,3,3,2,3,1,3,2,3,2,3,2,2,2,2,3,3,3,4,2,1,1,3,4,2,3,2,3,3,3,3,3,3,"yes","no",2.5,2.5,3,2.8,NA,NA,0
"NA",55,"Male","Yes","deg","full-time",87500,"Na",10,8,"Medium-Sized","Married",1,1,3,4,4,4,4,4,1,2,2,5,5,4,4,5,4,4,2,4,2,5,4,4,4,2,5,4,4,4,5,1,4,4,5,4,4,4,4,4,3,4,3,4,3,4,3,"yes","yes",3.8,3.5,3.4,3.8,NA,NA,1
"NA",55,"Female","Yes","ma","student",0,"Student",0,0,"","Widowed",2,1,2,4,4,3,3,3,2,5,2,3,2,3,4,3,3,3,4,4,2,4,3,2,4,1,2,2,4,5,3,3,4,4,4,5,4,3,3,5,1,5,3,3,3,3,1,"yes","yes",3.4,3.1,2.6,3.2,NA,NA,1
"NA",55,"Male","No","lthigh","retired",45000,"Na",10,7,"Small Town","Single",0,0,2,4,5,5,5,1,1,5,1,3,2,4,4,3,2,4,1,4,1,5,5,4,5,3,5,3,3,1,3,1,4,3,5,1,1,5,2,4,5,5,2,2,3,2,1,"yes","no",3.4,2.7,2,4.2,NA,NA,0
"NA",55,"NA","No","phd","unemployed",0,"Na",14,0,"","Married",0,0,5,5,5,5,5,1,1,5,4,3,4,4,3,3,3,5,4,5,1,5,4,5,1,1,5,2,4,5,5,2,5,5,3,2,1,3,4,3,5,2,1,1,1,1,1,"yes","no",3.4,3.4,1,5,NA,NA,0
"NA",67,"Male","No","high","retired",35000,"Na",10,0,"8","Single",0,0,4,4,4,2,2,1,1,3,2,2,2,3,3,2,2,3,1,2,2,2,3,2,2,3,2,2,3,3,4,2,4,3,4,4,4,3,2,4,2,4,4,3,4,4,3,"yes","no",3,2.1,3.6,3.2,NA,NA,0
"NA",19,"Female","No","ltuni","student",10000,"Student",0,0,"Village","Single",0,0,5,4,5,3,3,1,4,5,4,3,1,5,1,3,4,3,3,4,5,4,4,2,4,5,5,2,4,5,5,5,5,5,2,5,4,5,5,3,3,2,4,4,4,4,3,"yes","yes",4,3.3,3.8,4,NA,NA,1
"NA",55,"Female","Yes","ltuni","NA",150000,"Na",0,0,"Large Town","Married",1,2,4,4,4,3,3,3,2,5,4,3,2,4,4,4,5,4,3,2,4,4,4,4,4,1,5,2,4,3,4,2,4,4,4,4,4,5,5,3,5,4,4,4,4,4,4,"yes","yes",3.8,3.5,4,3.6,NA,NA,1
"NA",45,"Female","No","phd","full-time",87500,"Na",12,0,"Village","",0,0,3,3,3,3,3,3,2,3,3,3,2,3,3,1,2,4,3,3,2,4,4,2,3,1,5,3,2,4,4,2,3,3,3,4,2,4,4,2,2,3,3,2,2,4,2,"yes","yes",3,2.7,2.6,3,NA,NA,1
"NA",45,"Female","No","deg","student",0,"Student",0,0,"","Married",0,0,2,1,1,1,1,1,1,3,2,1,4,1,1,4,2,2,3,1,1,2,1,1,1,5,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,4,4,4,4,2,"yes","NA",1.5,1.9,3.6,1.2,NA,NA,0
"NA",22,"Female","No","deg","full-time",0,"Na",0,0,"","Single",0,0,4,3,4,3,3,1,2,3,3,3,3,4,4,2,4,2,3,3,2,3,4,2,3,3,3,3,4,4,4,3,4,4,1,3,4,4,4,4,4,4,3,4,4,4,3,"yes","yes",3.5,2.8,3.6,3.4,NA,NA,1
"NA",45,"Female","No","deg","full-time",45000,"Na",0,0,"Medium-Sized","Single",0,0,2,2,2,2,2,1,1,4,2,2,2,1,1,1,2,3,3,1,1,2,2,2,1,4,1,1,2,4,2,1,5,1,1,1,2,1,2,1,2,4,5,5,5,5,5,"no","no",2,1.8,5,2,NA,NA,1
"NA",67,"Male","Yes","phd","full-time",150000,"Na",6,0,"Large Town","Married",1,1,3,2,3,3,3,4,4,5,2,4,3,4,3,4,3,3,4,4,4,3,4,2,3,2,3,2,4,4,4,2,2,4,3,3,4,4,3,5,4,4,4,4,4,4,3,"yes","yes",3.3,3.6,3.8,2.8,NA,NA,1
"NA",19,"Female","No","ltuni","student",0,"Student",0,0,"","Single",0,0,3,4,4,2,2,1,1,1,2,1,3,3,2,1,3,3,2,4,2,2,3,1,3,3,3,2,3,3,4,2,2,3,3,4,3,3,2,1,4,2,3,4,3,3,4,"yes","no",2.7,2.1,3.4,3,NA,NA,0
"NA",24,"Male","No","deg","full-time",15000,"Na",0,0,"","",0,0,5,1,5,3,3,2,4,5,4,4,1,5,2,3,5,5,5,2,4,3,5,1,5,5,4,5,5,3,5,1,5,5,3,3,5,4,5,4,5,5,1,1,1,1,4,"yes","yes",4.2,3.6,1.6,3.4,NA,NA,1
"NA",28,"Female","No","ma","full-time",55000,"Na",1,0,"","Single",0,0,3,2,2,2,2,2,2,3,3,4,5,3,4,3,4,1,3,1,3,5,4,3,2,2,3,2,3,3,3,3,3,4,3,3,4,4,4,4,4,4,3,4,3,3,3,"NA","NA",3.2,3.1,3.2,2.2,NA,NA,1
"NA",55,"Female","No","phd","part-time",35000,"Na",10,0,"Large Town","Married",0,0,2,2,2,2,2,1,3,1,4,3,3,4,3,4,4,2,5,3,5,3,3,3,3,5,2,3,3,3,4,4,5,4,1,4,4,4,3,5,3,4,4,4,4,4,2,"yes","yes",3.5,3.2,3.6,2,NA,NA,1
"NA",32,"Male","No","ma","unemployed",0,"Na",0,0,"Village","Single",0,0,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,1,4,5,5,4,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,4.5,1,4.6,NA,NA,1
"NA",37,"Female","No","ltuni","student",0,"Student",0,0,"","Single",0,0,5,5,5,5,5,2,3,5,4,5,4,5,5,4,5,5,5,5,5,5,5,4,4,4,1,3,5,5,5,4,5,5,3,3,5,4,2,5,5,5,1,1,1,1,1,"yes","yes",4.1,4.5,1,5,NA,NA,1
"NA",45,"Male","Yes","deg","full-time",150000,"Na",12,6,"","Divorced",1,2,3,3,2,3,3,1,1,3,3,4,2,4,3,5,4,2,2,2,1,3,4,1,3,3,4,1,4,2,4,2,1,4,1,3,5,5,3,5,5,5,2,1,1,3,2,"yes","yes",3.2,2.7,1.8,2.8,NA,NA,1
"NA",20,"Male","No","ltuni","NA",0,"Na",0,0,"","Single",0,0,4,4,4,3,3,1,1,5,1,2,3,4,4,1,3,4,1,3,1,4,4,3,3,2,2,2,4,4,4,1,2,4,2,2,4,3,2,3,4,4,5,5,5,5,5,"yes","yes",3,2.5,5,3.6,NA,NA,1
"NA",28,"Male","No","deg","student",25000,"Student",0,0,"","Single",0,0,2,3,3,2,2,1,1,3,2,2,1,1,1,2,4,4,3,4,1,3,2,1,2,2,4,4,2,3,4,1,1,3,1,2,2,4,2,3,3,4,4,4,4,4,1,"no","no",2.5,2.2,3.4,2.4,NA,NA,1
"NA",23,"Female","No","deg","student",10000,"Student",0,0,"Village","Single",0,0,3,3,4,1,1,1,2,4,3,1,1,3,4,1,2,2,3,2,2,1,4,2,3,4,1,3,3,4,3,2,2,3,1,2,4,3,2,3,1,3,3,4,4,2,3,"yes","yes",2.6,2.1,3.2,2.4,NA,NA,1
"NA",21,"Female","No","ltuni","student",0,"Student",0,0,"","Single",0,0,4,4,3,3,3,1,1,4,4,4,1,3,4,1,4,3,4,4,2,4,4,3,3,4,4,3,4,4,4,2,3,5,1,2,5,4,2,5,5,5,4,5,2,5,3,"yes","yes",3.6,2.9,3.8,3.4,NA,NA,1
"NA",32,"Male","No","lthigh","NA",0,"Na",0,0,"","",0,0,4,5,4,5,5,4,2,5,3,5,2,5,5,4,4,5,3,5,3,5,5,5,4,1,5,5,4,4,5,2,4,4,4,4,4,4,4,5,5,5,1,3,3,1,1,"yes","yes",4.2,4,1.8,4.6,NA,NA,1
"NA",21,"Female","No","deg","full-time",67500,"Na",0,0,"","",0,0,5,5,5,5,4,2,3,4,2,5,5,5,5,5,5,5,1,3,1,5,5,3,5,3,5,4,5,5,5,5,3,5,4,4,5,5,5,5,5,5,1,1,1,1,1,"yes","no",4.5,3.7,1,4.8,NA,NA,0
"NA",28,"Male","No","phd","full-time",45000,"Na",3,0,"Large Town","Married",0,0,3,3,5,1,1,1,2,3,2,1,1,2,3,1,2,2,2,3,2,1,2,1,3,3,2,2,2,4,3,3,3,3,1,4,4,5,4,3,3,2,3,4,3,5,1,"yes","yes",2.8,1.9,3.2,2.6,NA,NA,1
"NA",24,"Female","No","deg","student",0,"Student",0,0,"","Single",0,0,3,4,4,3,3,1,2,4,4,2,2,3,4,2,4,2,4,2,4,5,5,4,1,5,5,3,5,3,5,3,1,4,1,4,5,2,5,4,5,4,4,4,4,5,4,"yes","no",3.7,3,4.2,3.4,NA,NA,0
"NA",55,"Male","Yes","phd","full-time",67500,"Na",0,0,"","Married",2,0,3,5,5,5,5,4,3,2,4,4,2,4,4,3,3,4,3,4,3,5,4,1,3,3,3,2,4,5,3,1,2,4,3,5,4,4,3,4,5,2,2,2,2,2,1,"no","yes",3.2,3.5,1.8,4.6,NA,NA,0
"NA",25,"Female","No","ma","student",0,"Student",0,0,"","Single",0,0,3,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,4,3,2,2,3,1,3,4,2,3,3,3,3,3,4,3,2,2,3,4,2,3,3,3,4,4,4,4,4,"yes","yes",2.8,2.3,4,2.4,NA,NA,1
"NA",28,"Male","No","deg","student",0,"Student",0,0,"","Single",0,0,3,5,5,3,3,1,3,3,4,4,2,4,5,5,4,5,4,4,3,4,4,2,4,4,3,5,4,4,4,4,4,4,4,4,4,1,2,4,4,4,2,2,2,2,2,"yes","yes",3.6,3.7,2,3.8,NA,NA,1
"NA",55,"Male","Yes","ma","full-time",67500,"Na",0,0,"Large Town","Married",0,1,4,3,5,4,4,1,1,2,4,4,3,2,3,3,4,3,3,5,3,4,3,5,5,2,1,2,3,4,4,4,2,5,1,3,4,4,3,2,3,3,5,5,5,5,3,"yes","no",3.1,3,4.6,4,NA,NA,0
"NA",37,"Female","No","ma","part-time",0,"Na",0,0,"Village","Single",0,0,3,3,3,3,3,2,3,2,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,5,3,4,4,3,3,3,4,4,3,3,4,4,3,4,3,4,3,3,3,3,4,"yes","yes",3.5,3.6,3.2,3,NA,NA,1
"NA",45,"Female","No","phd","full-time",67500,"Na",10,0,"Small Town","Single",0,0,3,2,2,2,2,2,4,4,5,5,4,5,5,5,5,3,5,2,5,5,5,3,3,2,3,3,4,3,5,5,4,5,3,3,4,3,4,5,5,5,4,4,4,5,4,"yes","yes",3.8,4.3,4.2,2.2,NA,NA,1
"NA",28,"Female","No","deg","full-time",0,"Na",4,4,"","",0,0,2,3,4,2,2,1,1,2,1,3,2,2,2,2,2,4,3,3,1,2,3,1,3,2,3,3,3,4,3,2,2,3,1,3,3,3,2,3,3,4,2,4,2,2,1,"yes","no",2.7,2.1,2.2,2.6,NA,NA,0
"NA",45,"Female","No","ma","full-time",87500,"Na",5,0,"Village","Single",0,0,2,2,3,2,2,3,2,3,3,3,1,2,4,1,3,3,2,3,2,4,4,4,3,5,3,3,5,3,5,2,4,3,5,4,4,5,5,5,5,4,3,3,3,3,3,"yes","yes",4,2.6,3,2.2,NA,NA,1
"NA",23,"Female","No","ma","student",0,"Student",1,1,"Large Town","Single",0,0,3,2,2,2,2,2,2,2,3,3,4,2,3,3,4,3,3,3,2,2,3,2,2,2,3,3,3,3,2,3,3,3,3,4,3,2,1,3,1,4,2,4,4,3,3,"no","no",2.6,2.7,3.2,2.2,NA,NA,1
"NA",45,"Male","No","phd","full-time",150000,"Na",0,0,"","",0,0,3,4,3,2,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,2,3,2,4,3,2,3,3,3,4,3,3,3,3,2,2,2,4,2,5,4,4,4,5,"no","no",2.8,3.2,4.4,3,NA,NA,1
"NA",23,"Male","No","deg","full-time",55000,"Na",1,0,"Village","Single",0,0,4,5,4,4,3,2,3,5,5,4,4,5,5,4,5,4,4,3,4,3,4,1,3,2,4,4,4,4,5,4,4,5,4,3,5,5,4,4,4,5,4,4,2,2,2,"yes","yes",3.9,4,2.8,4,NA,NA,1
"NA",55,"Female","Yes","deg","unemployed",150000,"Na",14,0,"Rural/Country","",0,1,4,4,4,4,4,1,1,4,3,4,4,3,5,3,3,3,3,3,3,3,4,2,5,5,2,4,4,5,5,3,3,5,2,3,4,5,4,5,4,5,3,3,3,2,1,"yes","yes",4,3.1,2.4,4,NA,NA,1
"NA",32,"Male","No","deg","full-time",67500,"Na",2,0,"","",0,0,2,2,2,2,2,1,3,5,5,2,4,4,4,1,4,4,5,2,5,3,4,2,2,5,3,4,4,2,4,5,5,5,2,3,4,5,4,5,5,5,4,4,4,2,2,"yes","no",3.9,3.5,3.2,2,NA,NA,0
"NA",45,"Female","No","","NA",0,"Na",0,0,"Village","Married",0,0,3,3,3,2,2,2,2,1,2,3,3,2,3,1,1,4,2,2,1,1,3,1,1,3,3,2,2,3,3,1,2,2,1,1,3,2,1,3,3,3,3,3,3,3,2,"yes","no",2.1,2,2.8,2.6,NA,NA,0
"NA",45,"Male","No","ma","part-time",10000,"Na",10,0,"Village","Single",0,0,4,4,3,3,3,3,4,2,5,5,3,4,4,4,3,4,4,4,4,4,4,3,4,4,2,5,4,4,4,4,4,5,2,2,4,4,4,4,4,4,3,4,2,3,2,"yes","yes",3.8,3.8,2.8,3.4,NA,NA,1
